Index, Delay
218, 95
219, 86
220, 75
221, 78
222, 74
223, 88
224, 74
225, 68
226, 65
227, 66
228, 79
229, 46
230, 72
231, 67
232, 68
233, 70
234, 45
235, 48
236, 51
237, 58
238, 61
239, 46
240, 51
241, 58
242, 35
243, 59
244, 45
245, 40
246, 44
247, 49
248, 48
249, 43
250, 35
251, 44
252, 35
253, 36
254, 42
255, 39
256, 48
257, 28
258, 44
259, 38
260, 32
261, 23
262, 29
263, 32
264, 28
265, 30
266, 32
267, 39
268, 33
269, 31
270, 32
271, 28
272, 25
273, 20
274, 26
275, 28
276, 21
277, 26
278, 26
279, 15
280, 24
281, 21
282, 22
283, 19
284, 17
285, 25
286, 23
287, 23
288, 25
289, 21
290, 28
291, 21
292, 29
293, 20
294, 14
295, 14
296, 15
297, 17
298, 20
299, 12
300, 9
301, 8
302, 13
303, 22
304, 21
305, 14
306, 13
307, 20
308, 14
309, 16
310, 9
311, 18
312, 13
313, 12
314, 13
315, 14
316, 13
317, 10
318, 16
319, 9
320, 12
321, 4
322, 7
323, 12
324, 9
325, 15
326, 17
327, 8
328, 6
329, 10
330, 14
331, 8
332, 13
333, 9
334, 5
335, 9
336, 6
337, 9
338, 7
339, 9
340, 10
341, 9
342, 9
343, 6
344, 6
345, 8
346, 7
347, 5
348, 6
349, 6
350, 5
351, 11
352, 4
353, 4
354, 5
355, 10
356, 6
357, 3
358, 6
359, 7
360, 6
361, 2
362, 7
363, 5
364, 5
365, 3
366, 6
367, 8
368, 3
369, 7
370, 2
371, 8
372, 1
373, 6
374, 2
375, 3
376, 3
377, 4
378, 5
379, 6
380, 5
381, 1
382, 7
383, 3
384, 1
385, 4
386, 5
387, 2
388, 3
389, 4
390, 3
391, 5
392, 5
393, 7
394, 6
395, 1
396, 2
397, 5
398, 3
399, 2
400, 2
401, 2
402, 2
403, 2
404, 2
405, 5
406, 2
407, 2
408, 4
409, 4
410, 2
411, 1
412, 3
413, 2
414, 1
415, 3
416, 1
417, 3
418, 0
419, 2
420, 2
421, 3
422, 3
423, 3
424, 1
425, 0
426, 3
427, 2
428, 3
429, 1
430, 1
431, 1
432, 2
433, 1
434, 4
435, 1
436, 0
437, 2
438, 1
439, 2
440, 0
441, 0
442, 0
443, 3
444, 1
445, 0
446, 2
447, 0
448, 1
449, 2
450, 2
451, 2
452, 0
453, 2
454, 0
455, 0
456, 0
457, 1
458, 0
459, 2
460, 1
461, 0
462, 0
463, 1
464, 0
465, 1
466, 0
467, 1
468, 1
469, 1
470, 1
471, 0
472, 0
473, 1
474, 0
475, 1
476, 0
477, 3
478, 0
479, 0
480, 0
481, 0
482, 0
483, 0
484, 1
485, 2
486, 2
487, 0
488, 0
489, 0
490, 1
491, 1
492, 1
493, 0
494, 1
495, 1
496, 2
497, 1
498, 1
499, 2
500, 0
501, 0
502, 0
503, 2
504, 1
505, 1
506, 0
507, 0
508, 0
509, 0
510, 1
511, 0
512, 1
513, 1
514, 1
515, 0
516, 1
517, 1
518, 0
519, 0
520, 0
521, 0
522, 0
523, 0
524, 5
525, 0
526, 1
527, 0
528, 0
529, 1
530, 1
531, 0
532, 0
533, 1
534, 0
535, 2
536, 0
537, 0
538, 0
539, 0
540, 0
541, 0
542, 1
543, 1
544, 0
545, 0
546, 0
547, 1
548, 1
549, 0
550, 0
551, 0
552, 0
553, 0
554, 0
555, 1
556, 0
557, 0
558, 0
559, 0
560, 0
561, 0
562, 1
563, 1
564, 0
565, 0
566, 0
567, 1
568, 2
569, 0
570, 0
571, 1
572, 2
573, 0
574, 0
575, 0
576, 0
577, 1
578, 2
579, 0
580, 0
581, 0
582, 0
583, 0
584, 2
585, 0
586, 0
587, 1
588, 0
589, 0
590, 0
591, 0
592, 0
593, 0
594, 1
